Timings,8.00 - 8.50,9.00 - 9.50,10.00 - 10. 50,11.00 - 11.50,12.00 - 12. 50,Lunch Break,2.00 - 2.50,3.00 - 3.50,4.00 - 4.50,5.00 - 5.50,6.00- 6.50
Monday,T- PCPE,PC-1,PC -2,PC -3,PC - 4,,HSME,PCPE,HSPE,PHSME,T-PC-1
,BM101(M5),GE103,MA101,HS102,CY101,,,BM101(M5),GE104,HS101,GE103
,HS202(M6),CE201(M1),CS201(M6),HS103,GE201(M3),,CH303(M2),HS202(M6),PH614(M3),,CE201(M1)
,,CH201(M2),EE203(M4),MA201(M5),GE203(M1),,ME302(ME-SH),,CE521(M2),,CH201(M2)
,CS533(CS-2),MM201(ME-2),CE202(M1),GE108(M6),EE201(M6),,CS301(M5),CS533(CS-2),EE531(EE-1),,MM201(ME-2)
,CE516(M1),,CH202(M2),CE524(M1),EE201(M4),,EE303(CS-SH),CE516(M1),HS501(M4),,
,,,ME201(ME-SH),CY414(CY-SH),CS607(CS-2),,MA301(M4),PH552(M3),MM403(ME-2),,CS550(CS-2)
,,CS510(CS-SH),MM202(ME-2),CY513(CY-1),CY415(CY-SH),,MM303(ME-2),,,,CS510(CS-SH)
,,CY411(CY-SH),CS621(CS-2),ME571(ME-1),CY514(CY-1),,HS475(M3),ME502(ME-1),CS507(CS-SH),,
,,CY511(CY-2),CS517(M3),MA614(M2),MA413(EE-SH),,ME503(ME-1),ME521(ME-SH),ME518(ME-1),,
,,MA511(M3),CY412(CY-SH),EE608(EE-1),MA513(ME-SH),,CS526(CS-1),,ME547(ME-SH),,
,,BM601(CY-1),MA412(EE-SH),,BM606(M2),,HS405(CY-SH),,ME579(ME-2),,
,,EE521(EE-2),MA512(EE-3),,CE502(CY-2),,,,HS413(M6),,
,,ME508(ME-1),CE501(CY-2),,EE513(EE-1),,,,BM615(M1),,
,,CS518(CS-1),,,CS522(CS-1),,,,,,
,,,CS527(CS-SH),,EE629(EE-3),,,,,,
,,,EE511(EE-1),,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,ME202-LAB,,,,T - PC -1
,,,,,,,GE107-G1,,,NCC/NSO/NSS,
,,,,,,,GE108-G7,,GE108-G8,,
,,lab - 2h -1,,lab - 2h -1,,,GE109-G9,,GE109-G10,,
,,,,,,,,,,,
Tuesday,T -HSPE,PC-1,PC -2,PC -3,PC - 4,,PCDE,PEOE,HSPE,PHSME,T-PEOE
,MA101,GE103,MA101,HS102,CY101,,HS301(M6),CE520(M1),GE104,HS101,CE520(M1)
,CS201(M6),CE201(M1),CS201(M6),HS103,GE201(M3),,GE111(M5),HS472(M3),PH614(M3),,
,EE203(M4),CH201(M2),EE203(M4),MA201(M5),GE203(M1),,CE511(M1),MM401(ME-2),CE521(M2),,
,CE202(M1),MM201(ME-2),CE202(M1),GE108(M6),EE201(M6),,,MA615(M4),EE531(EE-1),,
,CH202(M2),CS518(CS-1),CH202(M2),CE524(M1),EE201(M4),,ME507(ME-SH),,HS501(M4),,
,ME201(ME-SH),,ME201(ME-SH),CY414(CY-SH),CS607(CS-2),,ME548(ME-1),CS539(M5),MM403(ME-2),,
,MM202(ME-2),CS510(CS-SH),MM202(ME-2),CY513(CY-1),CY415(CY-SH),,EE523(EE-1),BM611(CY-SH),,,
,CS621(CS-2),CY411(CY-SH),CS621(CS-2),ME571(ME-1),CY514(CY-1),,EE533(EE-SH),ME517(ME-1),CS507(CS-SH),,
,,CY511(CY-2),CS517(M3),MA614(M2),MA413(EE-SH),,,ME471(ME-SH),ME518(ME-1),,
,CY412(CY-SH),MA511(M3),CY412(CY-SH),EE608(EE-1),MA513(ME-SH),,,ME549(M2),ME547(ME-SH),,
,MA412(EE-SH),BM601(CY-1),MA412(EE-SH),,BM606(M2),,,EE527(EE-SH),ME579(ME-2),,
,,EE521(EE-2),MA512(EE-3),,CE502(CY-2),,,EE535(EE-1),HS413(M6),,
,,ME508(ME-1),CE501(CY-2),,EE513(EE-1),,,,BM615(M1),,
,,,,,CS522(CS-1),,,,,,
,,,CS527(CS-SH),,EE629(EE-3),,,,,,
,,,EE511(EE-1),,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
